time,NAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,Nina_index,DEW_ave,TEMP_ave,RH_ave,DEW_max,TEMP_max,RH_max,sp_ave,tcc_ave,tp_sum,ws_ave,wd_ave
2/23/1990,TSN,10.818797,106.651856,1990,2,23,0.21,21.34166667,27.96111111,68.53981279,23.2,33.3,94.13022084,100.8959896,0.135191089,8.68E-06,2.636820805,136.7518822
2/24/1990,TSN,10.818797,106.651856,1990,2,24,0.21,21.88684211,28.30789474,69.89851,24,34,88.74823581,100.835409,0.067439034,0,3.316962636,130.6004012
2/25/1990,TSN,10.818797,106.651856,1990,2,25,0.21,22.24242424,28.2,71.07931026,23.4,32,94.14301015,100.8308746,0.242277077,0.000135188,2.6707741,125.5677389
2/26/1990,TSN,10.818797,106.651856,1990,2,26,0.21,20.79736842,28.48684211,64.26443637,22,33,83.43764449,100.8573333,0.62763211,0.000552263,2.579763107,115.3837518
2/27/1990,TSN,10.818797,106.651856,1990,2,27,0.21,20.61304348,28.77391304,62.62761854,22.3,33,88.5887773,100.9666508,0.332149526,6.41E-06,2.920250801,135.4499247
2/28/1990,TSN,10.818797,106.651856,1990,2,28,0.21,22.05454545,28.36666667,70.1696491,23.4,33,89.76347338,101.0180127,0.649099793,0.000112234,2.761546641,140.152448
3/1/1990,TSN,10.818797,106.651856,1990,3,1,0.04,21.57894737,28.33684211,68.05177784,24,33,88.74823581,100.9808673,0.50636212,0.00052735,3.01059086,135.8851235
3/2/1990,TSN,10.818797,106.651856,1990,3,2,0.04,20.97894737,28.41578947,65.87574686,24,34,86.02812654,100.9894281,0.511072291,0.000410422,2.744599635,129.6526881
3/3/1990,TSN,10.818797,106.651856,1990,3,3,0.04,20.66129032,29.16774194,62.4958477,23,35,86.05713925,100.9427713,0.278043634,5.86E-05,3.108003562,129.7219957
3/4/1990,TSN,10.818797,106.651856,1990,3,4,0.04,21.9,28.27586207,69.3625304,23,32,88.6689178,100.9524629,0.372182166,0.001365588,2.043522864,124.8409229
3/5/1990,TSN,10.818797,106.651856,1990,3,5,0.04,20.51794872,28.65384615,62.73478385,22.2,33,83.32391016,101.024685,0.333281582,8.31E-05,1.593255915,123.8148626
3/6/1990,TSN,10.818797,106.651856,1990,3,6,0.04,21.02285714,28.82,64.20919214,22.2,34,83.32391016,101.0854323,0.14057601,0,3.246627441,120.9393594
3/7/1990,TSN,10.818797,106.651856,1990,3,7,0.04,21.5137931,28.84827586,65.85667215,22.2,36,83.46025672,101.2088202,0.29691863,0.000786483,1.950925181,106.2773645
3/8/1990,TSN,10.818797,106.651856,1990,3,8,0.04,21.2875,28.825,65.09837659,23,32.1,88.5887773,101.2807441,0.502278773,0.005003955,1.942639742,110.9595928
3/9/1990,TSN,10.818797,106.651856,1990,3,9,0.04,20.89736842,27.94210526,66.56162946,22,33,83.32391016,101.3510115,0.377829197,0.004154212,1.831130796,84.85659316
3/10/1990,TSN,10.818797,106.651856,1990,3,10,0.04,20.10526316,30.02105263,57.39310147,21.4,34.3,80.41734578,101.3724241,0.720116472,0.000215335,1.7305835,95.5480406
3/11/1990,TSN,10.818797,106.651856,1990,3,11,0.04,21.31578947,29.17368421,64.13189336,22.4,35,83.43764449,101.3059763,0.314832424,0.002589067,1.760796537,98.4728203
